name,office_holder,office,election_name,election_date,description,ocd_contest_id,ocd_person_id,ocd_post_id,ocd_membership_id,ocd_election_id,created_at,updated_at,calaccess_measure_id
"JUNE 3, 2008 - SPECIAL RECALL ELECTION - SENATE DISTRICT 12",JEFF DENHAM,State Senate 12,2008 PRIMARY,2008-06-03,"",ocd-contest/2971c9ae-448d-419e-b99a-5f2b76bfc53b,ocd-person/01c74187-df4a-438c-b9ef-d7b474c7f138,ocd-post/dfa28942-3edf-4d57-89ff-c2001a144ed6,ocd-membership/fef43749-b14e-4807-a3f4-13fe7c2ce03b,ocd-election/72cefb26-db0f-4239-aca9-220e44cf0323,2017-10-25 02:25:13.774927+00,2017-10-25 02:25:13.774947+00,1305462
2003 RECALL QUESTION,GRAY DAVIS,Governor,2003 SPECIAL ELECTION,2003-10-07,"",ocd-contest/14d8dc5a-a5ef-4742-a2c5-4598747660f3,ocd-person/7509f3d7-00a1-417f-8bbe-c658f32ae24a,ocd-post/b63d25d2-aff0-4afb-9dd1-e99474c8eb13,ocd-membership/157562ac-83bf-49c4-852a-6ecb718189ab,ocd-election/cad3151f-5aef-4c59-96aa-b1eaa2d5fe58,2017-10-25 02:25:13.695971+00,2017-10-25 02:25:13.695991+00,1256382
