name,classification,election_name,election_date,description,created_at,updated_at,ocd_contest_id,ocd_election_id,calaccess_measure_id
PROP 55 - KINDERGARTEN-UNIVERSITY PUBLIC EDUCATION FACILITIES BOND ACT OF 2004.,ballot measure,2004 PRIMARY,2004-03-02,"",2017-10-25 02:25:10.022133+00,2017-10-25 02:25:10.022153+00,ocd-contest/9cea62fc-f769-47c7-8699-b8c240c1352c,ocd-election/bc5aef8c-53d8-43f1-bf0b-7282adc717af,1255049
"PROP 56 - STATE BUDGET, RELATED TAXES, AND RESERVE. VOTING REQUIREMENTS. PENALTIES. INITIATIVE CONSTITUTIONAL AMENDMENT.",initiative,2004 PRIMARY,2004-03-02,"",2017-10-25 02:25:10.051302+00,2017-10-25 02:25:10.051322+00,ocd-contest/6595e344-61dc-4290-90aa-387b1422e42b,ocd-election/bc5aef8c-53d8-43f1-bf0b-7282adc717af,1260878
"PROP 57 - ABX5 9 (CHAPTER 2, STATUTES 2003, 5TH EXTRAORDINARY SESSION). OROPEZA. ECONOMIC RECOVERY BONDS.",ballot measure,2004 PRIMARY,2004-03-02,"",2017-10-25 02:25:10.079669+00,2017-10-25 02:25:10.07969+00,ocd-contest/dafc1e1f-0020-492a-bb24-e8af24327e6e,ocd-election/bc5aef8c-53d8-43f1-bf0b-7282adc717af,1261013
"PROP 58 - ABX5 5 (RESOLUTION CHAPTER 1, STATUTES OF 2003, 5TH EXTRAORDINARY SESSION). OROPEZA. STATE FINANCE.",ballot measure,2004 PRIMARY,2004-03-02,"",2017-10-25 02:25:10.108167+00,2017-10-25 02:25:10.108188+00,ocd-contest/29081547-56d0-45b7-a0f4-7e06c4b2bdb5,ocd-election/bc5aef8c-53d8-43f1-bf0b-7282adc717af,1261015
PROP 53 - INFRASTRUCTURE: FINANCE.,ballot measure,2003 SPECIAL ELECTION,2003-10-07,"",2017-10-25 02:25:10.594684+00,2017-10-25 02:25:10.594704+00,ocd-contest/066ed58d-75ef-47cf-b56f-5d20a4581163,ocd-election/cad3151f-5aef-4c59-96aa-b1eaa2d5fe58,1255050
"PROP 54 - CLASSIFICATION BY RACE, ETHNICITY, COLOR OR NATIONAL ORIGIN.",ballot measure,2003 SPECIAL ELECTION,2003-10-07,"",2017-10-25 02:25:10.622927+00,2017-10-25 02:25:10.622947+00,ocd-contest/1d853c4e-4051-4339-a6cd-b40cca019b5c,ocd-election/cad3151f-5aef-4c59-96aa-b1eaa2d5fe58,1244577
PROP 46 - HOUSING AND EMERGENCY SHELTER TRUST FUND ACT OF 2002.,ballot measure,2002 GENERAL,2002-11-05,"",2017-10-25 02:25:10.876341+00,2017-10-25 02:25:10.876362+00,ocd-contest/a765dc51-8b0d-48c2-9e83-c83f9ff0e161,ocd-election/dc12271a-d584-45c5-ba65-da7727dab42a,1244959
PROP 47 - KINDERGARTEN-UNIVERSITY PUBLIC EDUCATION FACILITIES BOND ACT OF 2002.,ballot measure,2002 GENERAL,2002-11-05,"",2017-10-25 02:25:10.903743+00,2017-10-25 02:25:10.903763+00,ocd-contest/74809bb1-57f3-4cf5-a214-35029d9014f6,ocd-election/dc12271a-d584-45c5-ba65-da7727dab42a,1244960
PROP 48 - COURT CONSOLIDATION. LEGISLATIVE CONSTITUTIONAL AMENDMENT.,ballot measure,2002 GENERAL,2002-11-05,"",2017-10-25 02:25:10.93099+00,2017-10-25 02:25:10.93101+00,ocd-contest/b75cbf2b-9fe3-4b29-8255-c9024e250f2e,ocd-election/dc12271a-d584-45c5-ba65-da7727dab42a,1245253
PROP 49 - BEFORE AND AFTER SCHOOL PROGRAMS. STATE GRANTS. INITIATIVE STATUTE.,initiative,2002 GENERAL,2002-11-05,"",2017-10-25 02:25:10.958851+00,2017-10-25 02:25:10.958872+00,ocd-contest/036adc10-c3be-44a7-8a73-cf132d8e8deb,ocd-election/dc12271a-d584-45c5-ba65-da7727dab42a,1245288
"PROP 50 - WATER QUALITY, SUPPLY AND SAFE DRINKING WATER PROJECTS. COASTAL WETLANDS PURCHASE AND PROTECTION. BONDS. INITIATIVE STATUTE.",initiative,2002 GENERAL,2002-11-05,"",2017-10-25 02:25:10.986732+00,2017-10-25 02:25:10.986752+00,ocd-contest/2a8aadaf-669c-411b-9fe7-d52e3a03eb91,ocd-election/dc12271a-d584-45c5-ba65-da7727dab42a,1244594
PROP 51 - TRANSPORTATION. DISTRIBUTION OF EXISTING MOTOR VEHICLE SALES AND USE TAX. INITIATIVE STATUTE.,initiative,2002 GENERAL,2002-11-05,"",2017-10-25 02:25:11.015219+00,2017-10-25 02:25:11.01524+00,ocd-contest/a29a8e75-3d79-4206-a021-9749bd96a997,ocd-election/dc12271a-d584-45c5-ba65-da7727dab42a,1244589
PROP 52 - ELECTION DAY VOTER REGISTRATION. VOTER FRAUD PENALITIES. INITATIVE STATUTE.,initiative,2002 GENERAL,2002-11-05,"",2017-10-25 02:25:11.043289+00,2017-10-25 02:25:11.043309+00,ocd-contest/9a16e7c1-2e8e-4ec9-8f6f-dc40f80f0748,ocd-election/dc12271a-d584-45c5-ba65-da7727dab42a,1244588
"PROP 40 - CALIFORNIA CLEAN WATER, CLEAN AIR, SAFE NEIGHBORHOOD PARKS, AND COASTAL PROTECTION ACT OF 2002. AB. 1602 (2001)",ballot measure,2002 PRIMARY,2002-03-05,"",2017-10-25 02:25:11.071395+00,2017-10-25 02:25:11.071415+00,ocd-contest/61fb1474-6eb7-410a-a78e-9e6dddfd0926,ocd-election/56f52fa4-513c-4427-aed5-ec3d9cc88f80,1239148
PROP 41 - VOTING MODERNIZATION ACT OF 2002. AB 56 (2001),ballot measure,2002 PRIMARY,2002-03-05,"",2017-10-25 02:25:11.099306+00,2017-10-25 02:25:11.099326+00,ocd-contest/c8ab7787-4e22-4dc0-b342-6a39adff6bba,ocd-election/56f52fa4-513c-4427-aed5-ec3d9cc88f80,1239150
PROP 42 - TRANSPORTATION FUNDING: SALES AND USE TAX REVENUES. ACA 4. (2001),ballot measure,2002 PRIMARY,2002-03-05,"",2017-10-25 02:25:11.12706+00,2017-10-25 02:25:11.127081+00,ocd-contest/3d5215ed-ca52-48b7-bdf6-9c0f19e43540,ocd-election/56f52fa4-513c-4427-aed5-ec3d9cc88f80,1238835
PROP 43 - RIGHT TO HAVE VOTE COUNTED. ACA 9. (2001).,ballot measure,2002 PRIMARY,2002-03-05,"",2017-10-25 02:25:11.155536+00,2017-10-25 02:25:11.155556+00,ocd-contest/426b730a-a820-4e1c-aff9-ab57b326379f,ocd-election/56f52fa4-513c-4427-aed5-ec3d9cc88f80,1238846
PROP 44 - INSURANCE FRAUD. SB 1988. (2000).,ballot measure,2002 PRIMARY,2002-03-05,"",2017-10-25 02:25:11.183464+00,2017-10-25 02:25:11.183484+00,ocd-contest/8b5aa0fc-e7ef-411b-97b8-e1d869fb82c8,ocd-election/56f52fa4-513c-4427-aed5-ec3d9cc88f80,1238847
PROP 45 - LEGISLATIVE TERM LIMITS. LOCAL VOTER PETITIONS. INITIATIVE CONSTITUTIONAL AMENDMENT.,initiative,2002 PRIMARY,2002-03-05,"",2017-10-25 02:25:11.212569+00,2017-10-25 02:25:11.21259+00,ocd-contest/58a116cf-31fa-4890-8b53-619668c2f1a8,ocd-election/56f52fa4-513c-4427-aed5-ec3d9cc88f80,1237346
PROP 32 - VETERANS' BOND ACT OF 2000,ballot measure,2000 GENERAL,2000-11-07,"",2017-10-25 02:25:08.83233+00,2017-10-25 02:25:08.832351+00,ocd-contest/5d7e9fa6-c8a6-4321-a5b2-117b3915b991,ocd-election/1a2b8d1f-90ef-497c-b605-3660bd26f820,1225295
PROP 33 - LEGISLATURE. PARTICIPATION IN PUBLIC EMPLOYEES' RETIREMENT SYSTEM. LEGISLATIVE CONSTITUTIONAL AMENDMENT.,ballot measure,2000 GENERAL,2000-11-07,"",2017-10-25 02:25:08.863709+00,2017-10-25 02:25:08.863729+00,ocd-contest/f3b04afe-feff-4bc5-92ac-f73d018e408f,ocd-election/1a2b8d1f-90ef-497c-b605-3660bd26f820,1225298
PROP 34 - CAMPAIGN CONTRIBUTIONS AND SPENDING. LIMITS. DISCLOSURE. LEGISLATIVE INITIATIVE AMENDMENT.,initiative,2000 GENERAL,2000-11-07,"",2017-10-25 02:25:08.891831+00,2017-10-25 02:25:08.891851+00,ocd-contest/5fbfa76f-41a6-4627-90a1-df46e3195327,ocd-election/1a2b8d1f-90ef-497c-b605-3660bd26f820,1225301
PROP 35 - PUBLIC WORKS PROJECTS. USE OF PRIVATE CONTRACTORS FOR ENGINEERING AND ARCHITECTURAL SERVICES. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,initiative,2000 GENERAL,2000-11-07,"",2017-10-25 02:25:08.919312+00,2017-10-25 02:25:08.919332+00,ocd-contest/ade815aa-79ad-4a15-9cea-2f3cd63b2d97,ocd-election/1a2b8d1f-90ef-497c-b605-3660bd26f820,1007621
PROP 36 - DRUG TREATMENT DIVERSION PROGRAM. INITIATIVE STATUTE.,initiative,2000 GENERAL,2000-11-07,"",2017-10-25 02:25:08.947415+00,2017-10-25 02:25:08.947435+00,ocd-contest/67a18c6c-0c3d-43d5-b3c7-07a81a0a98f2,ocd-election/1a2b8d1f-90ef-497c-b605-3660bd26f820,1221199
PROP 37 - FEES. VOTE REQUIREMENTS. TAXES. INITIATIVE CONSTITUTIONAL AMENDMENT.,initiative,2000 GENERAL,2000-11-07,"",2017-10-25 02:25:08.976029+00,2017-10-25 02:25:08.97605+00,ocd-contest/8b54dec9-2865-4908-98f9-b5bf6ae3e6ab,ocd-election/1a2b8d1f-90ef-497c-b605-3660bd26f820,1224360
PROP 38 - SCHOOL VOUCHERS. STATE-FUNDED PRIVATE AND RELIGIOUS EDUCATION. PUBLIC SCHOOL FUNDING. INITIATIVE CONSTITUTIONAL AMENDMENT.,initiative,2000 GENERAL,2000-11-07,"",2017-10-25 02:25:09.004827+00,2017-10-25 02:25:09.00485+00,ocd-contest/41badbbe-658a-4605-a1b5-340a5d87a55c,ocd-election/1a2b8d1f-90ef-497c-b605-3660bd26f820,1221201
"PROP 39 - SCHOOL FACILITIES. 55% LOCAL VOTE. BONDS, TAXES. ACCOUNTABILITY REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",initiative,2000 GENERAL,2000-11-07,"",2017-10-25 02:25:09.033354+00,2017-10-25 02:25:09.033378+00,ocd-contest/6d4c86af-7db7-4854-a291-b0ec41b4ad69,ocd-election/1a2b8d1f-90ef-497c-b605-3660bd26f820,1224425
"PROP 12 - 2000 AB 18 (CHAPTER 461, 1999). VILLARAIGOSA. BOND: PARKS, WATER, COASTAL PROTECTION ACT.",ballot measure,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.060652+00,2017-10-25 02:25:09.060672+00,ocd-contest/cf21f12a-34bf-45f1-aa51-89b08167f0b6,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007678
"PROP 13 - 2000 AB 1584 (CHAPTER 725, 1999). MACHADO. SAFE DRINKING WATER, CLEAN WATER, WATERSHED PROTECTION, AND FLOOD PROTEC",ballot measure,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.088776+00,2017-10-25 02:25:09.088798+00,ocd-contest/76a010c5-9810-409e-92cf-f2ef55239155,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007679
"PROP 14 - 2000 SB 3 (CHAPTER 726, 1999). RAINEY. CALIFORNIA READING AND LITERACY IMPROVEMENT AND PUBLIC LIBRARY CONSTRUCTION",ballot measure,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.116829+00,2017-10-25 02:25:09.116849+00,ocd-contest/cb0dc617-3ae9-4e9a-b258-bec2f79bd688,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007680
"PROP 15 - 2000 AB 1391 (CHAPTER 727, 1999). HERTZBERG. FORENSIC LABORATORIES.",ballot measure,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.144562+00,2017-10-25 02:25:09.144583+00,ocd-contest/fc831e04-a2ed-494b-9e66-0e905e8b515b,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007681
"PROP 16 - 2000 SB 630 (CHAPTER 728, 1999). DUNN. VETERANS' HOMES.",ballot measure,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.171927+00,2017-10-25 02:25:09.171947+00,ocd-contest/efcadf5f-0bc5-4825-8c6e-acbfad6d84c3,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007682
"PROP 17 - 2000 SCA 4 (RESOLUTION CHAPTER 123, 1999). MC PHERSON. LOTTERIES: CHARITABLE RAFFLES.",ballot measure,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.199216+00,2017-10-25 02:25:09.199237+00,ocd-contest/bb5d32e4-1373-4e51-81da-49628c01132a,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007683
"PROP 18 - 2000 SB 1878 (CHAPTER 629, 19998). KOPP. MURDER:      SPECIAL CIRCUMSTANCES.",ballot measure,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.226834+00,2017-10-25 02:25:09.226855+00,ocd-contest/3aa2a9cc-89d0-415f-8508-c00dfb4c407a,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007684
"PROP 19 - 2000 SB 1690 (CHAPTER 760, 1998). RAINEY. PEACE OFFICERS.",ballot measure,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.254351+00,2017-10-25 02:25:09.254371+00,ocd-contest/9833f938-2c09-4ce5-ad01-6bcbb857bdf5,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007685
"PROP 1A - 2000.  SCA 11 (RESOLUTION CHAPTER 142, 1999). BURTON. GAMBLING.",ballot measure,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.282194+00,2017-10-25 02:25:09.282215+00,ocd-contest/782138e6-5668-489c-a2a7-5706c42e6312,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007677
"PROP 20 - 2000 AB 1453 (CHAPTER 800, 1998). CARDENAS. CALIFORNIA STATE LOTTERY: CARDENAS TEXTBOOK ACT OF 2000.",ballot measure,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.311269+00,2017-10-25 02:25:09.311289+00,ocd-contest/02cfd304-685a-490a-8672-daecbf7df86b,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007686
PROP 21 - 2000 JUVENILE CRIME. INITIATIVE STATUTE.,initiative,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.341519+00,2017-10-25 02:25:09.341539+00,ocd-contest/3dbb4481-00cc-46c1-ba66-244ccee6e1af,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007515
PROP 22 - 2000 DEFINITION OF MARRIAGE. INITIATIVE STATUTE.,initiative,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.369135+00,2017-10-25 02:25:09.369155+00,ocd-contest/967cadad-ef2a-4825-b39b-2348a82204fc,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007594
"PROP 23 - 2000 ""NONE OF THE ABOVE"" BALLOT OPTION. INITIATIVE STATUTE.",initiative,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.397187+00,2017-10-25 02:25:09.397207+00,ocd-contest/da127201-fefa-4814-ac6e-12fe5695ce38,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007628
PROP 25 - 2000 ELECTION CAMPAIGNS. CONTRIBUTION AND SPENDING LIMITS. PUBLIC FINANCING. DISCLOSURES. INITIATIVE STATUTE.,initiative,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.424493+00,2017-10-25 02:25:09.424514+00,ocd-contest/c61becaf-9f67-4c60-b028-9d8fab21289a,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007655
PROP 26 - 2000 SCHOOL FACILITIES. BONDS. LOCAL MAJORITY VOTE. INITIATIVE STATUTE.,initiative,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.453971+00,2017-10-25 02:25:09.453991+00,ocd-contest/65acce7f-bd57-48bb-bfbc-dafbd5b2593a,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007623
PROP 27 - 2000 ELECTIONS. TERM LIMITS DECLARATIONS FOR CONGRESSIONAL CANDIDATES. INITIATIVE STATUTE.,initiative,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.513718+00,2017-10-25 02:25:09.513738+00,ocd-contest/e6c203f5-2c2e-41e9-a816-4ec67b9778db,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007446
PROP 28 - 2000 REPEAL OF ADDITIONAL TOBACCO SURTAX ENACTED BY PROPOSITION 10. INITIATIVE STATUTE.,initiative,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.541289+00,2017-10-25 02:25:09.541309+00,ocd-contest/f9f67e9d-9237-40a1-89b3-1a43956c85b9,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007626
PROP 29 - 2000 REFERENDUM VOTE TO OVERTURN PREVIOUSLY APPROVED GAMING COMPACTS.,referendum,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.568999+00,2017-10-25 02:25:09.569019+00,ocd-contest/f44c6ddd-9cad-4b00-9ed4-999ac36647d4,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007614
"PROP 30 - 2000 REFERENDUM PETITION TO OVERTURN ""THE FAIR INSURANCE RESPONSIBILITY ACT.""",referendum,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.596108+00,2017-10-25 02:25:09.596129+00,ocd-contest/72acdb39-ba60-46c2-9862-702c118c4d0d,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007671
"PROP 31 - 2000 REFERENDUM PETITION TO OVERTURN AMENDMENTS TO ""THE FAIR INSURANCE RESPONSIBILITY ACT.""",referendum,2000 PRIMARY,2000-03-07,"",2017-10-25 02:25:09.623716+00,2017-10-25 02:25:09.623738+00,ocd-contest/54ecb977-6a6b-42fe-9be4-258ea9dfaf95,ocd-election/b0c0efd8-2b07-44c4-8399-c30f3332ff49,1007676
