name,party_name,election_name,election_date,office,is_incumbent,special_election,created_at,updated_at,ocd_person_id,ocd_candidacy_id,ocd_election_id,ocd_post_id,ocd_contest_id,ocd_party_id,latest_calaccess_filer_id,calaccess_filer_id_count,latest_form501_filing_id,form501_filing_count
DANTE ACOSTA,REPUBLICAN,2016 PRIMARY,2016-06-07,Assembly 38,f,f,2017-10-25 02:06:54.394745+00,2017-10-25 02:06:54.469538+00,ocd-person/b31857d6-6985-4163-9beb-ca077b02dca6,ocd-candidacy/f2ad256c-2b27-4ea5-a94d-45320e6bf8b2,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/e027e25d-91a5-4253-9d1c-425b90e5456b,ocd-contest/3f0e0c8f-7a79-49ed-adac-1f2c23dfbce8,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1383876,1,2020767,1
JARROD R. DE GONIA,REPUBLICAN,2016 PRIMARY,2016-06-07,Assembly 38,f,f,2017-10-25 02:06:54.632271+00,2017-10-25 02:06:54.703943+00,ocd-person/bde0211d-046f-4bb8-bc52-90c31145efc8,ocd-candidacy/0304530b-6764-43b5-a4e2-6c85e5e34d6a,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/e027e25d-91a5-4253-9d1c-425b90e5456b,ocd-contest/3f0e0c8f-7a79-49ed-adac-1f2c23dfbce8,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1383961,1,2021103,1
CHRIS GARCIA,REPUBLICAN,2016 PRIMARY,2016-06-07,Assembly 38,f,f,2017-10-25 02:26:20.880606+00,2017-10-25 02:26:20.909141+00,ocd-person/c39bd52f-71b4-49b8-9ddb-54e9f8072a2a,ocd-candidacy/7a4c6458-db0a-4b39-a7ec-8f6a24856b1b,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/e027e25d-91a5-4253-9d1c-425b90e5456b,ocd-contest/3f0e0c8f-7a79-49ed-adac-1f2c23dfbce8,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1383888,1,2020887,1
MINA CRESWELL,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 39,f,f,2017-10-25 02:17:57.699812+00,2017-10-25 02:17:57.826266+00,ocd-person/05a5bcea-dd3a-4450-a553-492cfb161754,ocd-candidacy/9f9a8eac-a240-4311-9669-6821bde6bd4a,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/3cd13581-cc7f-4ce0-8d9a-5ffd8f8e2469,ocd-contest/f1990236-b098-4034-b3e7-153034f28ad8,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1383494,1,2018488,1
PATTY LOPEZ,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 39,t,f,2017-10-25 02:06:56.24218+00,2017-10-25 02:06:56.317088+00,ocd-person/2721b40c-a8e5-4fb1-980d-10ba90f243cd,ocd-candidacy/a28769a9-4b8a-4e12-8f9f-f5ab83a19891,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/3cd13581-cc7f-4ce0-8d9a-5ffd8f8e2469,ocd-contest/f1990236-b098-4034-b3e7-153034f28ad8,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1358288,1,1940165,2
JOANNE FERNANDEZ,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 39,f,f,2017-10-25 02:06:56.025089+00,2017-10-25 02:06:56.09492+00,ocd-person/862a958a-1533-4e44-bac1-2ce7d24ed061,ocd-candidacy/b51ee034-71bf-4d5a-9617-19acaffcf16b,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/3cd13581-cc7f-4ce0-8d9a-5ffd8f8e2469,ocd-contest/f1990236-b098-4034-b3e7-153034f28ad8,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1383729,1,2019808,1
JOEL FAJARDO,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 39,f,f,2017-10-25 02:06:55.575698+00,2017-10-25 02:06:55.651429+00,ocd-person/b59c6edb-51cf-47eb-8c6c-a40e427af1f4,ocd-candidacy/2cc591ff-e195-46d8-9f0f-72e0dec0a7a5,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/3cd13581-cc7f-4ce0-8d9a-5ffd8f8e2469,ocd-contest/f1990236-b098-4034-b3e7-153034f28ad8,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1379539,1,1987368,1
RAUL BOCANEGRA,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 39,f,f,2017-10-25 02:06:55.343548+00,2017-10-25 02:06:55.414516+00,ocd-person/cf62fdcb-af3b-48ab-9920-cc78daca10f3,ocd-candidacy/3f041d3e-e3f6-4588-8528-81264295b133,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/3cd13581-cc7f-4ce0-8d9a-5ffd8f8e2469,ocd-contest/f1990236-b098-4034-b3e7-153034f28ad8,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1330049,1,1918803,3
JOANNE BALTIERREZ-FERNANDEZ,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 39,f,f,2017-10-25 02:25:41.467033+00,2017-10-25 02:25:41.496391+00,ocd-person/d9a308f0-6a49-4f0b-9c92-ed1f79a6bbe6,ocd-candidacy/5dd3ce8b-769a-48e5-8f1c-78bbc12c994c,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/3cd13581-cc7f-4ce0-8d9a-5ffd8f8e2469,ocd-contest/f1990236-b098-4034-b3e7-153034f28ad8,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1381782,1,2002038,1
KEVIN J. SUSCAVAGE,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 39,f,f,2017-10-25 02:17:58.006934+00,2017-10-25 02:17:58.133183+00,ocd-person/ff316663-fd0d-4f76-b531-688daf4237d1,ocd-candidacy/88ccf0c6-0179-40e2-bce3-a03711a04a26,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/3cd13581-cc7f-4ce0-8d9a-5ffd8f8e2469,ocd-contest/f1990236-b098-4034-b3e7-153034f28ad8,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1347835,1,2020275,1
